HGNC:16049	ENSG00000110958	MGI:1929282,MGI:3704271	ENSMUSG00000071072,ENSMUSG00000040078
HGNC:16197	ENSG00000172315	MGI:1914050,MGI:1918294	ENSMUSG00000042854,ENSMUSG00000039725
HGNC:34385,HGNC:27362	ENSG00000169402,ENSG00000155026	MGI:1922386	ENSMUSG00000075569
HGNC:25243	ENSG00000099338	MGI:1923968,MGI:2443617	ENSMUSG00000049123,ENSMUSG00000049676
HGNC:4962	ENSG00000204592	MGI:2442805,MGI:95957	ENSMUSG00000073405,ENSMUSG00000067212
HGNC:2622	ENSG00000138115	MGI:103238,MGI:1306819,MGI:1306818	ENSMUSG00000003053,ENSMUSG00000032808,ENSMUSG00000025003
HGNC:1995,HGNC:31736	ENSG00000237289,ENSG00000223572	MGI:99441	ENSMUSG00000000308
HGNC:12924	ENSG00000105708	MGI:3036263,MGI:3648690	ENSMUSG00000074158,ENSMUSG00000069727
HGNC:28782,HGNC:38824	ENSG00000242498,ENSG00000250021	MGI:1917670	ENSMUSG00000039043
HGNC:13972	ENSG00000243729	MGI:2177493,MGI:2177494	ENSMUSG00000090894,ENSMUSG00000090675
HGNC:31293	ENSG00000188324	MGI:3030616,MGI:3030638	ENSMUSG00000095075,ENSMUSG00000095401
HGNC:10719	ENSG00000143416	MGI:104859,MGI:96825	ENSMUSG00000068877,ENSMUSG00000068874
HGNC:2611,HGNC:2608,HGNC:2610	ENSG00000198077,ENSG00000197838,ENSG00000255974	MGI:88597,MGI:88596	ENSMUSG00000005547,ENSMUSG00000074254
HGNC:18923	ENSG00000182816	MGI:2152338,MGI:1330835,MGI:1916946	ENSMUSG00000068078,ENSMUSG00000050224,ENSMUSG00000048830
HGNC:6607	ENSG00000204577	MGI:1195974,MGI:1195969,MGI:1195970,MGI:3709645,MGI:894311,MGI:3705216,MGI:1195971	ENSMUSG00000030427,ENSMUSG00000089942,ENSMUSG00000074417,ENSMUSG00000058818,ENSMUSG00000074419,null
HGNC:6389	ENSG00000237649	MGI:2137414,MGI:109596	ENSMUSG00000024301,ENSMUSG00000079553
HGNC:94	ENSG00000120437	MGI:87871,MGI:109182	ENSMUSG00000023832,ENSMUSG00000062480
HGNC:14120,HGNC:12019	ENSG00000197253,ENSG00000172236	MGI:96942	ENSMUSG00000033825
HGNC:20530	ENSG00000221864	MGI:3641784,MGI:3641725,MGI:3642388	ENSMUSG00000094012,ENSMUSG00000094146,ENSMUSG00000096421
HGNC:4935	ENSG00000242574	MGI:95923,MGI:95922	ENSMUSG00000037548,ENSMUSG00000079547
HGNC:15339	ENSG00000170605	MGI:3030660,MGI:3030659	ENSMUSG00000059862,ENSMUSG00000058084
HGNC:15084	ENSG00000221938	MGI:3030278,MGI:3030071,MGI:3030275	ENSMUSG00000073110,ENSMUSG00000094200,ENSMUSG00000094669
HGNC:48338,HGNC:7650	ENSG00000270136,ENSG00000158747	MGI:104591	ENSMUSG00000041120
HGNC:18011	ENSG00000196368	MGI:1930957,MGI:2147931	ENSMUSG00000073295,ENSMUSG00000073293
HGNC:16996	ENSG00000086598	MGI:5434895,MGI:1929269	null,ENSMUSG00000029390
HGNC:478	ENSG00000240038	MGI:3711220,MGI:3714985,MGI:3711258,MGI:88020	ENSMUSG00000096569,ENSMUSG00000093931,ENSMUSG00000096770,ENSMUSG00000074268
HGNC:8179	ENSG00000172146	MGI:1333770,MGI:3030237	ENSMUSG00000070377,ENSMUSG00000070378
HGNC:8482	ENSG00000279116	MGI:3030758,MGI:3030760	ENSMUSG00000062103,ENSMUSG00000064333
HGNC:2481	ENSG00000121552	MGI:3645124,MGI:1924020,MGI:3524930	ENSMUSG00000079597,ENSMUSG00000095620,ENSMUSG00000034362
HGNC:25275	ENSG00000221843	MGI:4937329,MGI:4937068,MGI:3045298	ENSMUSG00000118586,null,ENSMUSG00000044581
HGNC:34512,HGNC:677	ENSG00000248405,ENSG00000241484	MGI:1920417	ENSMUSG00000078954
HGNC:18297	ENSG00000121716	MGI:2450535,MGI:2450532	ENSMUSG00000066682,ENSMUSG00000066684
HGNC:9900	ENSG00000102317	MGI:3642874,MGI:1099460	ENSMUSG00000099875,ENSMUSG00000031167
HGNC:21691,HGNC:21717	ENSG00000122674,ENSG00000146574	MGI:2141070	ENSMUSG00000029617
HGNC:10812,HGNC:48354	ENSG00000104205,ENSG00000288602	MGI:2182368	ENSMUSG00000025915
HGNC:8072,HGNC:23984	ENSG00000269405,ENSG00000269437	MGI:1933192	ENSMUSG00000009941
HGNC:28570	ENSG00000080572	MGI:1921958,MGI:3607720	ENSMUSG00000026063,ENSMUSG00000042433
HGNC:783	ENSG00000123268	MGI:1298366,MGI:3037720	ENSMUSG00000023027,ENSMUSG00000080968
HGNC:15217	ENSG00000183269	MGI:3030505,MGI:3030509	ENSMUSG00000094531,ENSMUSG00000096773
HGNC:31230,HGNC:8229	ENSG00000212807,ENSG00000221970	MGI:3030269	ENSMUSG00000048693
HGNC:30812	ENSG00000163535	MGI:3644562,MGI:1098767	ENSMUSG00000094443,ENSMUSG00000026039
HGNC:8469	ENSG00000196119	MGI:1931271,MGI:2661338	ENSMUSG00000061165,ENSMUSG00000110526
HGNC:1247	ENSG00000182326	MGI:3644269,MGI:1355312	ENSMUSG00000079343,ENSMUSG00000038521
HGNC:6383	ENSG00000113889	MGI:1097705,MGI:3027157	ENSMUSG00000022875,ENSMUSG00000060459
HGNC:17152	ENSG00000123130	MGI:1928940,MGI:1928939	ENSMUSG00000047565,ENSMUSG00000025287
HGNC:1550,HGNC:51829	ENSG00000160200,ENSG00000274276	MGI:88285	ENSMUSG00000024039
HGNC:25226	ENSG00000274349	MGI:1923640,MGI:3650906,MGI:3648947	ENSMUSG00000060630,ENSMUSG00000069476,ENSMUSG00000100617
HGNC:6373	ENSG00000111796	MGI:107540,MGI:107539,MGI:107538	ENSMUSG00000030361,ENSMUSG00000079298,ENSMUSG00000030325
HGNC:3465	ENSG00000139684	MGI:95421,MGI:3781082	ENSMUSG00000021996,ENSMUSG00000079101
HGNC:1043	ENSG00000242252	MGI:88157,MGI:88156,MGI:88155	ENSMUSG00000074486,ENSMUSG00000074483,ENSMUSG00000074489
HGNC:13840,HGNC:31984	ENSG00000188092,ENSG00000117262	MGI:1914799	ENSMUSG00000028096
HGNC:18890	ENSG00000212899	MGI:1913630,MGI:1913958	ENSMUSG00000069722,ENSMUSG00000069721
HGNC:18891,HGNC:18906	ENSG00000213417,ENSG00000212724	MGI:3651231,MGI:3651233,MGI:1918703	ENSMUSG00000058725,ENSMUSG00000057674,ENSMUSG00000060756
HGNC:31297	ENSG00000205327	MGI:3030633,MGI:3030615	ENSMUSG00000094734,ENSMUSG00000095138
HGNC:14784	ENSG00000182334	MGI:3030342,MGI:3030314	ENSMUSG00000063764,ENSMUSG00000063120
HGNC:30528	ENSG00000205981	MGI:1914963,MGI:3709029	ENSMUSG00000027679,ENSMUSG00000083854
HGNC:12709	ENSG00000169575	MGI:98936,MGI:98937	ENSMUSG00000059305,ENSMUSG00000059280
HGNC:3350	ENSG00000074800	MGI:95393,MGI:3648653	ENSMUSG00000063524,ENSMUSG00000059040
HGNC:11301	ENSG00000100883	MGI:1346087,MGI:3714357	ENSMUSG00000073079,ENSMUSG00000112449
HGNC:10303	ENSG00000167526	MGI:105922,MGI:3642685	ENSMUSG00000000740,ENSMUSG00000059776
HGNC:25292	ENSG00000196757	MGI:3642406,MGI:3779761,MGI:5011613,MGI:5590873	ENSMUSG00000095909,ENSMUSG00000113406,ENSMUSG00000113260,null
HGNC:20575	ENSG00000162365	MGI:88612,MGI:3611747	ENSMUSG00000066071,ENSMUSG00000078597
HGNC:18910	ENSG00000212722	MGI:3652308,MGI:3709346,MGI:1916018,MGI:3705237,MGI:3652177,MGI:1916714	ENSMUSG00000078668,ENSMUSG00000078260,ENSMUSG00000075566,ENSMUSG00000078259,ENSMUSG00000078261,ENSMUSG00000048294
HGNC:31286	ENSG00000236032	MGI:3030027,MGI:3030025	ENSMUSG00000060057,ENSMUSG00000094539
HGNC:24869	ENSG00000154252	MGI:3711964,MGI:2685834,MGI:3646771	ENSMUSG00000093805,ENSMUSG00000094651,ENSMUSG00000073608
HGNC:22970	ENSG00000272804	MGI:3779917,MGI:1925013,MGI:3779677,MGI:3781416,MGI:3779918,MGI:5011853,MGI:3704118,MGI:3780866,MGI:3780046,MGI:3781411,MGI:3779678,MGI:3781428,MGI:5011587,MGI:3781463,MGI:3645300	ENSMUSG00000094913,ENSMUSG00000069582,ENSMUSG00000095721,ENSMUSG00000095817,ENSMUSG00000112170,ENSMUSG00000096380,ENSMUSG00000071195,null,ENSMUSG00000096131,ENSMUSG00000094120,ENSMUSG00000095593,ENSMUSG00000096481,ENSMUSG00000095970,ENSMUSG00000111915,ENSMUSG00000112223
HGNC:4755	ENSG00000275713	MGI:3710645,MGI:3702051	ENSMUSG00000069303,ENSMUSG00000069307
HGNC:4710	ENSG00000100450	MGI:109255,MGI:109253,MGI:109254,MGI:109265	ENSMUSG00000059256,ENSMUSG00000040284,ENSMUSG00000015441,ENSMUSG00000022156
HGNC:5395	ENSG00000163565	MGI:96428,MGI:3584522,MGI:101847,MGI:2442822,MGI:2138243,MGI:3780953,MGI:3646410,MGI:96429,MGI:3840117,MGI:3695276,MGI:3041120,MGI:2138302	ENSMUSG00000039997,ENSMUSG00000070501,ENSMUSG00000054203,ENSMUSG00000066677,ENSMUSG00000043263,ENSMUSG00000090272,ENSMUSG00000037849,ENSMUSG00000073489,ENSMUSG00000090222,ENSMUSG00000073491,ENSMUSG00000026536,ENSMUSG00000073490
HGNC:25395	ENSG00000183347	MGI:97072,MGI:3646307,MGI:4359647,MGI:2140937,MGI:3605620	ENSMUSG00000079363,ENSMUSG00000092021,ENSMUSG00000105096,ENSMUSG00000104713,ENSMUSG00000029298
HGNC:4764,HGNC:4765	ENSG00000163041,ENSG00000132475	MGI:1101768,MGI:1097686	ENSMUSG00000016559,ENSMUSG00000060743
HGNC:19320	ENSG00000167850	MGI:2153249,MGI:3032626	ENSMUSG00000044811,ENSMUSG00000058728
HGNC:5217	ENSG00000203857	MGI:96234,MGI:109598,MGI:96235	ENSMUSG00000063730,ENSMUSG00000027869,ENSMUSG00000062410
HGNC:16848	ENSG00000204345	MGI:2442358,MGI:3702661,MGI:3702658,MGI:2687214	ENSMUSG00000034641,ENSMUSG00000089722,ENSMUSG00000069609,ENSMUSG00000069607
HGNC:38601,HGNC:37283,HGNC:38603	ENSG00000189357,ENSG00000214929,ENSG00000186788	MGI:1919469	ENSMUSG00000050876
HGNC:25112	ENSG00000213799	MGI:5588905,MGI:5590685,MGI:5588897	null,null
HGNC:4931	ENSG00000206503	MGI:3704134,MGI:95928,MGI:95933,MGI:95904,MGI:95929,MGI:95935,MGI:95936,MGI:95931,MGI:3702919,MGI:892004,MGI:95896	ENSMUSG00000073402,ENSMUSG00000079507,ENSMUSG00000035929,ENSMUSG00000061232,ENSMUSG00000067235,ENSMUSG00000073409,ENSMUSG00000060550,ENSMUSG00000091705,ENSMUSG00000073403,ENSMUSG00000073406,ENSMUSG00000073411
HGNC:20811	ENSG00000197647	MGI:1920860,MGI:5591846,MGI:5592537	ENSMUSG00000096795,ENSMUSG00000112640,ENSMUSG00000112790
HGNC:5232,HGNC:5233	ENSG00000204389,ENSG00000204388	MGI:96244	ENSMUSG00000091971
HGNC:27578	ENSG00000277972	MGI:101788,MGI:5012452	ENSMUSG00000078695,null
