chr10_1004;chr19_957
chr1_2199;chr4_783
chr12_19;chr10_5134
chr1_21;chr4_1366
chr12_1;chr6_2045
chr12_2019;chr10_4733
chr12_2037;chr10_4678
chr12_2039;chr5_1271
chr1_2203;chr4_788
chr12_2044;chr5_2753
chr12_2048;chr5_3438
chr12_2058;chr5_5828
chr1_2205;chr4_794
chr12_205;chr5_1606
chr12_2061;chr5_3508
chr12_2064;chr5_5314
chr12_2067;chr5_3454
chr12_2074;chr5_4950
chr12_207;chr5_1594
chr12_2087;chr6_2847
chr12_2088;chr6_3497
chr12_208;chr5_2427
chr12_2097;chr6_2054
chr1_2209;chr4_4186
chr12_20;chr10_1963
chr12_2100;chr6_2109
chr1_2210;chr4_3041
chr12_2119;chr4_2128
chr1_2212;chr4_1960
chr12_2130;chr15_2143
chr12_2133;chr15_2538
chr12_2134;chr15_1387
chr12_2134;chr15_1394
chr12_213;chr5_1635
chr12_2140;chr15_3459
chr12_2148;chr15_3997
chr12_2148;chr15_3998
chr1_2214;chr4_5987
chr12_2153;chr15_2586
chr12_2154;chr15_4250
chr12_2156;chr10_2969
chr12_2159;chr10_2449
chr12_215;chr5_3758
chr12_2165;chr10_1678
chr12_2177;chr10_5123
chr1_2217;chr4_5054
chr12_2180;chr10_1482
chr12_2182;chr10_1474
chr1_2218;chr4_3051
chr1_2219;chr4_818
chr12_219;chr5_2742
chr1_221;chr4_829
chr12_21;chr5_3507
chr12_2206;chr10_1136
chr1_2220;chr4_5245
chr12_2216;chr10_2401
chr12_2220;chr10_4346
chr12_2221;chr5_1284
chr12_2227;chr5_3534
chr1_2222;chr4_6319
chr12_2234;chr5_6318
chr12_2237;chr5_3500
chr12_2240;chr5_1356
chr12_2241;chr5_2368
chr12_2249;chr5_2407
chr12_2249;chr5_3543
chr12_2250;chr5_3545
chr12_2252;chr5_2790
chr12_2258;chr5_1555
chr12_225;chr6_1858
chr1_2225;chr6_826
chr1_2225;chr6_836
chr12_2261;chr5_3575
chr1_2226;chr6_849
chr12_2278;chr6_1958
chr1_2227;chr6_830
chr12_2289;chr6_3848
chr12_2293;chr6_5698
chr12_2295;chr6_5552
chr12_2298;chr6_3858
chr12_229;chr6_3463
chr1_222;chr4_825
chr12_2301;chr5_1962
chr12_2302;chr6_2331
chr12_2309;chr15_2005
chr1_2230;chr3_1657
chr12_2310;chr15_2203
chr12_2314;chr15_3457
chr12_2316;chr15_3736
chr12_2319;chr15_1558
chr1_2231;chr3_1647
chr12_2320;chr10_1714
chr12_2322;chr10_1722
chr12_2328;chr10_1638
chr12_2334;chr10_2880
chr12_2338;chr10_5271
chr1_2233;chr3_3723
chr12_2345;chr5_4901
chr12_234;chr6_1984
chr12_2353;chr5_2770
chr12_2359;chr5_4909
chr12_235;chr6_1973
chr12_235;chr6_1988
chr12_2363;chr5_4468
chr12_2369;chr6_4561
chr1_2236;chr3_1619
chr12_236;chr6_1973
chr12_2380;chr6_2852
chr12_2384;chr6_2884
chr12_2385;chr6_5696
chr12_2386;chr6_3507
chr12_2389;chr6_5319
chr1_2238;chr3_2909
chr12_2396;chr6_3862
chr1_2239;chr3_1609
chr12_239;chr6_1990
chr12_23;chr5_1304
chr12_2402;chr6_4633
chr12_240;chr6_3075
chr1_2241;chr3_1597
chr12_2420;chr15_1304
chr12_2420;chr15_1305
chr12_2421;chr15_1303
chr12_2425;chr10_4372
chr12_2425;chr10_4373
chr12_2428;chr10_2437
chr12_242;chr6_1977
chr12_2431;chr10_1465
chr12_2440;chr10_3656
chr12_2442;chr10_3642
chr12_2452;chr5_1472
chr12_2453;chr5_1469
chr12_245;chr6_5695
chr12_2462;chr5_4910
chr12_2468;chr5_1511
chr1_2246;chr3_4903
chr12_246;chr6_1958
chr12_246;chr6_3493
chr12_2477;chr5_5843
chr1_2247;chr3_1575
chr1_2247;chr3_1576
chr12_247;chr6_1954
chr12_2486;chr6_4195
chr12_248;chr6_3074
chr12_2494;chr6_5299
chr12_2496;chr6_2843
chr12_2497;chr6_3511
chr12_2499;chr6_2022
chr1_2249;chr3_3335
chr12_24;chr5_1498
chr1_224;chr6_833
chr12_2509;chr6_2010
chr12_2512;chr6_2000
chr12_2517;chr6_1926
chr12_251;chr6_2869
chr12_2524;chr6_2067
chr12_2526;chr6_3152
chr1_2252;chr3_1571
chr12_2530;chr6_2095
chr12_2531;chr6_2094
chr12_2536;chr6_2102
chr12_2538;chr6_2100
chr12_253;chr6_1972
chr12_2542;chr6_2127
chr12_2543;chr6_2127
chr12_2549;chr6_3861
chr1_2254;chr3_1556
chr12_254;chr6_2588
chr12_2550;chr6_3861
chr12_2553;chr6_2126
chr12_2557;chr6_2153
chr12_2557;chr6_2154
chr1_2255;chr3_1570
chr12_255;chr6_2585
chr12_2563;chr6_2174
chr12_2564;chr6_4595
chr1_2256;chr3_1569
chr12_256;chr6_4959
chr12_2570;chr6_2195
chr1_2257;chr3_1567
chr12_2584;chr6_2217
chr12_2590;chr6_2926
chr12_2595;chr6_2938
chr12_2595;chr6_2939
chr12_2599;chr6_2276
chr12_25;chr5_1510
chr12_2602;chr6_2313
chr12_2604;chr6_2295
chr12_2607;chr6_2317
chr12_2609;chr6_2313
chr12_260;chr6_1946
chr12_2610;chr6_2304
chr12_2611;chr6_2305
chr12_261;chr6_1944
chr12_2631;chr6_2346
chr12_2635;chr16_2232
chr1_2263;chr3_1534
chr1_2263;chr3_1547
chr12_263;chr6_2584
chr12_263;chr6_2586
chr12_2640;chr15_3422
chr12_2641;chr15_2512
chr12_2644;chr15_1267
chr12_2645;chr15_1269
chr12_2646;chr15_2196
chr1_2264;chr3_3917
chr12_2656;chr15_1303
chr12_2656;chr15_1304
chr12_2657;chr15_1305
chr12_2657;chr15_1306
chr12_2658;chr15_1306
chr12_265;chr6_1927
chr12_2660;chr15_1313
chr12_2662;chr15_2839
chr12_2663;chr15_3150
chr12_2664;chr15_3146
chr12_2671;chr15_1316
chr12_2672;chr15_1317
chr12_267;chr6_3482
chr12_2684;chr15_2840
chr12_2686;chr15_1352
chr12_2687;chr15_1353
chr12_2688;chr15_1359
chr12_2689;chr15_1360
chr12_268;chr6_2860
chr12_2690;chr15_1351
chr12_2692;chr15_1351
chr12_2698;chr15_1397
chr12_2699;chr15_1400
chr12_2699;chr15_1403
chr1_2269;chr3_3915
chr12_2705;chr15_1447
chr12_2710;chr15_1783
chr12_2711;chr15_3735
chr12_2712;chr15_1458
chr12_2713;chr15_3178
chr12_2719;chr15_2571
chr12_2722;chr15_1491
chr12_2723;chr17_2913
chr1_2272;chr5_6457
chr12_2731;chr15_3189
chr12_2733;chr15_1507
chr12_2734;chr15_2759
chr12_2738;chr15_2761
chr12_2738;chr15_3998
chr12_2741;chr10_1720
chr12_2747;chr10_1676
chr12_274;chr6_2132
chr12_2750;chr10_1676
chr12_2757;chr10_4946
chr12_2758;chr10_4063
chr12_275;chr6_4588
chr12_2760;chr10_4259
chr12_2763;chr10_4258
chr1_2276;chr5_2720
chr12_276;chr6_2135
chr12_2771;chr10_4942
chr12_2772;chr10_4252
chr1_2277;chr5_1102
chr12_2782;chr10_3711
chr12_2784;chr10_5125
chr12_2785;chr10_1594
chr12_2786;chr10_1591
chr12_2788;chr10_1584
chr1_2278;chr5_4883
chr12_2792;chr10_4233
chr12_2804;chr10_5255
chr12_2810;chr10_4982
chr12_2811;chr10_4478
chr12_2811;chr10_4765
chr12_2813;chr10_1436
chr12_2817;chr10_1429
chr12_2818;chr10_1456
chr1_2281;chr5_2278
chr12_2820;chr10_2929
chr12_2821;chr10_3691
chr12_2824;chr10_1428
chr12_282;chr6_2171
chr12_2833;chr10_3678
chr12_2834;chr10_1402
chr12_2836;chr10_1397
chr12_2840;chr10_1395
chr12_2848;chr10_3671
chr12_2851;chr10_1381
chr12_2853;chr10_1367
chr12_2855;chr10_2901
chr1_2285;chr5_1118
chr1_2285;chr5_1137
chr1_2286;chr5_4390
chr12_2870;chr10_4916
chr12_2874;chr10_3287
chr12_2878;chr10_1260
chr1_2287;chr5_2538
chr12_287;chr6_2171
chr12_2881;chr10_1240
chr12_2885;chr10_1252
chr12_2888;chr10_1225
chr1_2288;chr5_3357
chr12_288;chr6_4240
chr12_2896;chr10_1203
chr12_2897;chr10_4009
chr12_289;chr6_2192
chr12_289;chr6_2193
chr12_2900;chr10_4206
chr12_2904;chr10_4457
chr12_2909;chr10_3638
chr12_2910;chr10_3635
chr12_2916;chr10_4911
chr12_2918;chr10_1144
chr12_2922;chr10_1892
chr12_2924;chr10_2414
chr12_2925;chr10_2409
chr12_2931;chr10_4198
chr12_2938;chr10_1104
chr12_2938;chr10_1105
chr12_2943;chr10_1960
chr12_2946;chr10_2183
chr12_2954;chr10_4900
chr1_2295;chr3_1883
chr12_295;chr6_2273
chr12_295;chr6_2274
chr12_2962;chr10_4190
chr12_2967;chr5_2751
chr12_2968;chr5_2330
chr1_2296;chr3_1290
chr1_2296;chr3_1291
chr12_296;chr6_2336
chr12_2970;chr5_3423
chr12_2971;chr5_3423
chr12_2972;chr5_3424
chr12_2974;chr5_1268
chr12_2979;chr5_1476
chr1_2297;chr3_1289
chr12_2981;chr5_1475
chr12_2982;chr5_1455
chr12_2983;chr5_2784
chr12_2984;chr5_1471
chr12_2985;chr5_3448
chr12_2986;chr5_1473
chr12_2988;chr5_1473
chr12_2989;chr5_3538
chr1_2298;chr3_1289
chr12_298;chr6_2337
chr12_2990;chr5_2978
chr12_2992;chr5_1462
chr12_2993;chr5_1462
chr1_2299;chr3_2878
chr12_29;chr5_1605
chr12_2;chr6_2031
chr12_3008;chr5_3505
chr12_300;chr6_2348
chr12_3012;chr5_1404
chr12_3017;chr5_1385
chr12_3019;chr5_1364
chr1_2301;chr3_1278
chr12_301;chr6_2345
chr12_3022;chr5_1382
chr12_3026;chr5_3471
chr12_302;chr16_212
chr12_3030;chr5_2351
chr12_3036;chr5_1323
chr12_3037;chr5_1308
chr12_303;chr15_1813
chr12_3040;chr5_3944
chr12_3041;chr5_2790
chr12_3043;chr5_2791
chr12_3046;chr5_1500
chr1_2304;chr3_1255
chr12_305;chr15_1272
chr1_2305;chr3_4882
chr12_3061;chr5_1519
chr12_3063;chr5_4111
chr12_3064;chr5_1525
chr12_3068;chr5_2418
chr12_3070;chr5_1595
chr12_3072;chr5_2420
chr1_2307;chr3_3275
chr1_2308;chr3_3607
chr12_3097;chr6_3076
chr12_3098;chr6_3496
chr12_309;chr15_1307
chr1_230;chr3_1934
chr12_30;chr5_1626
chr12_3101;chr6_2054
chr12_3106;chr6_4841
chr1_2310;chr3_1245
chr12_311;chr15_1335
chr12_311;chr15_1336
chr12_311;chr15_1357
chr1_2311;chr3_1228
chr12_3123;chr10_1680
chr1_2312;chr3_2155
chr12_3131;chr5_2968
chr12_3134;chr5_4956
chr12_3137;chr5_5306
chr1_2313;chr3_4935
chr12_3140;chr5_1447
chr12_314;chr15_1342
chr12_3154;chr6_2637
chr12_315;chr15_1775
chr1_2315;chr3_1235
chr12_3161;chr15_1779
chr12_3165;chr15_2025
chr12_316;chr15_1358
chr12_316;chr15_3435
chr1_2316;chr3_1243
chr12_3170;chr10_2279
chr12_3178;chr5_2404
chr12_317;chr15_1356
chr12_318;chr15_2530
chr1_2319;chr3_3269
chr1_231;chr3_1587
chr12_3208;chr6_5821
chr12_320;chr15_1377
chr12_3217;chr14_3801
chr12_321;chr15_1364
chr1_2321;chr3_2649
chr12_3228;chr14_3801
chr12_322;chr15_1384
chr12_3235;chr6_4837
chr12_323;chr15_2735
chr12_3255;chr6_2915
chr12_325;chr15_2544
chr12_326;chr15_2736
chr1_2326;chr3_2133
chr12_3272;chr6_2335
chr12_327;chr15_1385
chr1_2327;chr3_1137
chr12_3288;chr15_2514
chr1_2328;chr3_1134
chr12_3293;chr15_2516
chr12_3297;chr15_3961
chr12_3299;chr15_4345
chr12_329;chr15_1383
chr1_2329;chr3_1136
chr1_232;chr3_1587
chr12_3302;chr15_4004
chr12_330;chr15_3175
chr12_3311;chr10_1624
chr12_3314;chr10_4775
chr12_3317;chr10_2935
chr1_2331;chr3_3585
chr12_3326;chr10_1925
chr12_332;chr15_1401
chr1_2332;chr3_1128
chr1_2332;chr3_1129
chr12_3332;chr10_5114
chr12_333;chr15_1432
chr12_3343;chr10_4030
chr12_3344;chr10_1380
chr12_3350;chr10_1329
chr12_335;chr15_1465
chr1_2335;chr3_1109
chr12_3369;chr10_2859
chr12_336;chr15_1475
chr1_2337;chr3_2131
chr12_3385;chr10_3121
chr12_3387;chr10_3125
chr12_338;chr15_2749
chr12_339;chr15_1785
chr1_2339;chr3_3245
chr12_33;chr6_3714
chr12_3406;chr5_5470
chr12_3408;chr5_3474
chr12_340;chr15_1477
chr1_2340;chr3_1093
chr1_2341;chr3_1083
chr12_3421;chr5_2356
chr12_3430;chr5_1328
chr12_3432;chr5_2345
chr1_2343;chr3_1080
chr12_3443;chr5_3949
chr12_3452;chr6_2622
chr12_3459;chr15_1437
chr12_3461;chr10_1660
chr12_3462;chr10_1660
chr12_3464;chr10_1394
chr12_3467;chr10_1327
chr1_2346;chr3_1088
chr12_3472;chr10_4013
chr12_3472;chr10_4014
chr12_3473;chr10_1294
chr12_3477;chr10_2211
chr12_3478;chr5_1267
chr1_2347;chr3_2626
chr12_3480;chr5_2342
chr12_3480;chr5_3449
chr12_3484;chr5_1377
chr12_3485;chr5_3453
chr12_3489;chr6_4943
chr1_2348;chr3_2629
chr12_3490;chr6_1989
chr12_3499;chr6_4601
chr12_349;chr15_1525
chr1_234;chr3_1589
chr12_3501;chr6_3530
chr12_350;chr15_3191
chr1_2350;chr3_1859
chr12_3514;chr15_4278
chr12_351;chr15_1528
chr12_3528;chr10_1703
chr12_352;chr15_1531
chr12_3531;chr10_1659
chr12_3533;chr10_1945
chr12_3533;chr10_2944
chr12_353;chr15_1544
chr12_3542;chr10_1304
chr12_3544;chr10_4464
chr12_3545;chr10_2236
chr12_3546;chr10_3665
chr12_354;chr15_2577
chr1_2354;chr3_2865
chr12_3555;chr10_3593
chr12_3556;chr10_3593
chr12_3557;chr10_3596
chr12_355;chr15_1526
chr1_2355;chr3_1064
chr1_2355;chr3_2124
chr12_356;chr15_1530
chr1_2356;chr3_2614
chr12_3575;chr5_3511
chr12_3576;chr5_3511
chr12_3577;chr5_2972
chr12_3583;chr5_1500
chr12_3585;chr5_1521
chr12_3586;chr5_1522
chr12_3587;chr5_3562
chr12_3593;chr5_3576
chr12_3594;chr5_2423
chr12_360;chr15_3466
chr12_3616;chr15_1398
chr12_3616;chr15_1409
chr12_361;chr10_1733
chr12_3621;chr15_1513
chr12_3621;chr15_2578
chr12_3622;chr15_1509
chr12_3623;chr15_1532
chr12_3624;chr10_2970
chr12_3625;chr10_3176
chr12_3628;chr10_1669
chr12_3630;chr10_1662
chr12_3642;chr5_3524
chr12_3646;chr5_2386
chr12_3648;chr5_3507
chr12_364;chr10_1718
chr1_2364;chr3_2114
chr1_2364;chr3_2115
chr12_3650;chr5_4428
chr12_3650;chr5_5318
chr12_3657;chr5_4946
chr12_365;chr10_1716
chr1_2366;chr3_1021
chr12_3675;chr6_2038
chr12_367;chr10_1709
chr12_367;chr10_1710
chr12_3685;chr6_4570
chr12_3688;chr6_1941
chr12_368;chr10_2449
chr1_2368;chr3_1839
chr12_3696;chr6_2093
chr12_3697;chr6_2134
chr12_369;chr10_2968
chr1_2369;chr3_999
chr12_3703;chr6_2619
chr12_3708;chr6_2204
chr12_370;chr10_2968
chr1_2370;chr3_999
chr12_3710;chr6_3872
chr12_3711;chr6_5065
chr12_3713;chr6_2942
chr12_3717;chr6_5574
chr1_2371;chr3_2593
chr12_3720;chr6_4864
chr12_3725;chr6_2269
chr12_3726;chr6_2950
chr12_3727;chr6_2294
chr12_3727;chr6_2295
chr12_3728;chr6_2309
chr12_3729;chr6_4638
chr1_2372;chr3_3214
chr1_2372;chr3_3216
chr12_3736;chr15_3967
chr12_373;chr10_1699
chr1_2373;chr3_989
chr1_2373;chr3_998
chr12_3743;chr15_1315
chr12_3745;chr15_1768
chr12_374;chr10_1705
chr12_3756;chr15_1338
chr12_3756;chr15_1339
chr12_3757;chr15_3983
chr12_3761;chr15_1442
chr12_3764;chr15_1451
chr12_3766;chr15_2749
chr12_3767;chr15_2009
chr12_376;chr10_1702
chr1_2376;chr3_3211
chr12_3770;chr15_1491
chr12_3779;chr15_4001
chr1_2377;chr3_987
chr12_3781;chr10_1731
chr12_3782;chr10_1634
chr12_3789;chr10_4260
chr12_378;chr10_1691
chr1_2378;chr3_987
chr12_3792;chr10_3718
chr12_3799;chr10_2264
chr12_3801;chr10_4248
chr12_3803;chr10_4236
chr12_3804;chr10_4248
chr12_3809;chr10_4045
chr12_3810;chr10_3702
chr12_3811;chr10_2933
chr12_381;chr10_1679
chr1_2381;chr3_2854
chr12_3822;chr10_3694
chr12_3825;chr10_4479
chr12_3827;chr10_1505
chr12_3828;chr10_1532
chr1_2382;chr3_981
chr12_3832;chr10_3685
chr12_3833;chr10_1915
chr12_3834;chr10_2917
chr12_3839;chr10_2239
chr12_383;chr10_2280
chr12_3841;chr10_1406
chr12_3843;chr10_4473
chr12_3844;chr10_4473
chr12_3845;chr10_4215
chr1_2384;chr3_2591
chr12_3859;chr10_3667
chr12_385;chr10_1665
chr1_2385;chr3_3566
chr12_3863;chr10_2424
chr12_3864;chr10_5173
chr12_3865;chr10_2235
chr12_3868;chr10_4017
chr12_386;chr10_1674
chr1_2386;chr3_3566
chr12_3873;chr10_2213
chr12_3874;chr10_2214
chr12_3876;chr10_2213
chr12_3878;chr10_4009
chr12_3879;chr10_2890
chr12_387;chr10_1663
chr12_3883;chr10_3634
chr12_3884;chr10_2416
chr12_3885;chr10_3633
chr12_3886;chr10_2413
chr12_3889;chr10_3626
chr12_3890;chr10_2866
chr12_3895;chr10_1018
chr12_389;chr10_2952
chr12_3900;chr10_1026
chr12_3907;chr10_1060
chr12_3909;chr5_3413
chr1_2390;chr3_4690
chr12_3912;chr5_5308
chr12_3914;chr5_4422
chr12_3915;chr5_2542
chr12_3915;chr5_2543
chr12_3916;chr5_5158
chr1_2391;chr3_1828
chr1_2391;chr3_3839
chr12_3921;chr5_4462
chr12_3922;chr5_1465
chr12_3927;chr5_1443
chr12_392;chr10_1655
chr12_392;chr10_4369
chr1_2392;chr3_964
chr12_393;chr10_2276
chr1_2393;chr3_946
chr12_394;chr10_2275
chr1_2394;chr3_945
chr1_2394;chr3_957
chr12_3950;chr5_3480
chr12_3956;chr5_1496
chr12_3959;chr5_2412
chr12_3960;chr5_2985
chr12_3960;chr5_2986
chr12_3966;chr5_3577
chr12_3968;chr5_3583
chr12_3969;chr5_2422
chr12_396;chr10_4066
chr12_397;chr10_1635
chr1_23;chr4_1365
chr12_3;chr6_2006
chr12_400;chr10_4779
chr1_2400;chr1_6315
chr12_402;chr10_1580
chr12_403;chr10_1552
chr1_2403;chr1_6315
chr12_405;chr10_2240
chr12_410;chr10_1382
chr1_2413;chr3_939
chr12_414;chr10_1185
chr1_2414;chr3_3548
chr12_416;chr10_4723
chr12_419;chr10_1157
chr1_2419;chr3_945
chr1_2420;chr3_4430
chr1_2422;chr3_946
chr12_425;chr10_1138
chr1_2426;chr3_4424
chr1_2428;chr3_921
chr12_429;chr10_1118
chr1_2429;chr3_928
chr12_42;chr6_3457
chr12_430;chr10_1117
chr12_431;chr10_1113
chr1_2433;chr2_1020
chr12_437;chr10_1104
chr12_439;chr10_1869
chr1_243;chr3_1541
chr12_440;chr10_1019
chr12_441;chr10_1041
chr12_443;chr10_1064
chr1_2443;chr3_911
chr12_444;chr10_1071
chr1_2444;chr3_898
chr1_2445;chr3_915
chr12_447;chr10_1067
chr1_2447;chr3_1819
chr1_2448;chr3_908
chr12_448;chr5_1269
chr12_449;chr5_1271
chr1_2450;chr3_2558
chr12_451;chr5_1281
chr1_2452;chr3_896
chr12_452;chr5_1294
chr1_2454;chr3_891
chr1_2454;chr3_892
chr12_454;chr5_1307
chr1_2455;chr3_4930
chr12_455;chr5_5311
chr1_2456;chr3_4929
chr1_2456;chr3_889
chr1_2456;chr3_890
chr12_456;chr5_3446
chr1_2458;chr3_2843
chr12_458;chr5_3442
chr1_2459;chr3_2843
chr1_245;chr3_1515
chr12_45;chr6_3453
chr12_460;chr5_1306
chr1_2461;chr3_874
chr12_461;chr5_2404
chr1_2462;chr3_868
chr1_2464;chr3_857
chr12_464;chr5_2780
chr1_2465;chr3_861
chr12_465;chr5_3532
chr1_2466;chr3_845
chr12_466;chr5_4455
chr1_2468;chr3_3997
chr1_2471;chr3_840
chr12_471;chr5_1421
chr12_473;chr5_4448
chr1_2474;chr3_2543
chr12_475;chr5_3939
chr1_2476;chr3_811
chr12_477;chr5_6319
chr12_478;chr5_6318
chr12_478;chr5_6319
chr12_479;chr5_3509
chr1_247;chr5_3355
chr1_2480;chr3_2717
chr12_480;chr5_1418
chr12_481;chr5_2389
chr1_2482;chr3_3834
chr12_482;chr5_3489
chr12_483;chr5_1350
chr12_485;chr5_6309
chr1_2486;chr3_2073
chr12_486;chr5_4428
chr1_2487;chr3_4862
chr1_2488;chr3_800
chr12_489;chr5_6306
chr1_248;chr5_1125
chr1_2490;chr3_1810
chr12_492;chr5_1322
chr1_2494;chr3_1809
chr12_495;chr5_4907
chr1_2495;chr7_281
chr1_2496;chr3_3182
chr12_496;chr5_6325
chr12_498;chr5_1490
chr12_499;chr5_2793
chr1_249;chr5_2723
chr1_2500;chr3_784
chr1_2501;chr3_3181
chr12_501;chr5_1491
chr1_2502;chr3_783
chr1_2502;chr3_790
chr12_502;chr5_2408
chr1_2503;chr3_783
chr1_2503;chr3_789
chr1_2505;chr3_765
chr12_505;chr5_1515
chr12_505;chr5_1516
chr1_2506;chr3_761
chr1_2508;chr3_3986
chr12_508;chr5_1523
chr1_2510;chr3_731
chr12_511;chr5_1583
chr1_2513;chr3_727
chr1_2514;chr3_734
chr12_514;chr5_1639
chr1_2515;chr3_1796
chr12_515;chr5_1229
chr1_2516;chr3_2520
chr12_516;chr5_4958
chr1_2517;chr3_726
chr1_2520;chr3_733
chr1_2520;chr3_734
chr1_2527;chr3_2518
chr1_2528;chr3_725
chr12_528;chr6_3447
chr12_529;chr6_2046
chr1_252;chr3_1292
chr1_2531;chr3_723
chr1_2532;chr3_1783
chr1_2532;chr8_3045
chr12_533;chr6_3731
chr1_2535;chr3_1782
chr12_535;chr6_5603
chr1_2536;chr3_2822
chr12_536;chr6_1990
chr1_2537;chr3_2821
chr12_537;chr6_1973
chr1_2538;chr3_2057
chr12_539;chr6_1951
chr12_539;chr6_1952
chr12_540;chr6_1950
chr12_541;chr6_1932
chr1_2542;chr3_713
chr12_542;chr6_1945
chr1_2543;chr3_713
chr12_543;chr6_2866
chr1_2544;chr3_2508
chr12_545;chr6_1929
chr1_2546;chr3_712
chr1_2546;chr3_716
chr1_2547;chr3_2056
chr1_254;chr3_1267
chr1_2550;chr3_708
chr12_551;chr6_2138
chr1_2552;chr3_707
chr1_2553;chr3_705
chr12_553;chr6_3747
chr1_2555;chr3_698
chr1_2556;chr3_700
chr1_2557;chr3_700
chr12_558;chr15_3728
chr1_255;chr3_2657
chr1_2561;chr1_2601
chr12_562;chr15_2202
chr12_563;chr15_2551
chr12_563;chr15_2552
chr1_2565;chr1_3240
chr1_2566;chr1_4004
chr1_2567;chr1_4003
chr1_2567;chr1_4004
chr12_567;chr15_1504
chr1_2568;chr1_4002
chr12_569;chr15_1515
chr12_569;chr15_1516
chr1_2570;chr1_7230
chr1_2571;chr1_4001
chr12_571;chr15_1534
chr1_2572;chr1_3999
chr12_575;chr15_1575
chr12_576;chr15_1575
chr1_2577;chr1_3222
chr1_2578;chr1_3228
chr1_2579;chr1_6495
chr12_57;chr6_2068
chr1_2580;chr1_6495
chr12_581;chr10_1715
chr1_2582;chr1_3222
chr12_583;chr10_1708
chr1_2583;chr1_3227
chr12_584;chr10_1707
chr12_584;chr10_2969
chr1_2584;chr1_3229
chr12_585;chr10_1701
chr12_586;chr10_1690
chr1_2587;chr1_3226
chr1_2589;chr1_1869
chr1_258;chr3_1210
chr12_591;chr10_1667
chr12_592;chr10_2956
chr12_593;chr10_1670
chr12_593;chr10_1671
chr12_594;chr10_1654
chr1_2594;chr1_4550
chr12_595;chr10_1644
chr12_597;chr10_1605
chr1_2597;chr1_1839
chr1_2598;chr1_1841
chr1_2598;chr1_3988
chr1_2599;chr1_6902
chr1_259;chr3_1874
chr1_25;chr4_1351
chr1_25;chr4_1352
chr12_5;chr6_1959
chr12_601;chr10_1498
chr1_2601;chr1_1827
chr1_2602;chr1_1833
chr1_2603;chr1_1826
chr1_2605;chr1_2592
chr1_2610;chr1_2589
chr12_611;chr10_1151
chr1_2611;chr1_1821
chr1_2611;chr1_6902
chr1_2612;chr1_1812
chr1_2613;chr1_1821
chr1_2614;chr1_1817
chr12_617;chr10_1062
chr1_2617;chr1_1816
chr12_618;chr10_1067
chr1_2618;chr1_1810
chr1_2621;chr1_1805
chr12_622;chr5_1289
chr12_623;chr5_2755
chr12_624;chr5_1467
chr12_624;chr5_1468
chr1_2625;chr1_4956
chr12_625;chr5_3536
chr12_625;chr5_3537
chr1_2626;chr1_4953
chr12_626;chr5_3941
chr1_2628;chr1_1765
chr12_628;chr5_1406
chr1_2629;chr1_1758
chr12_629;chr5_3935
chr1_262;chr3_1138
chr1_262;chr3_1142
chr12_62;chr6_2137
chr1_2630;chr1_5431
chr12_630;chr5_3936
chr1_2631;chr1_1757
chr12_632;chr5_1401
chr1_2633;chr1_6824
chr12_633;chr5_4441
chr12_638;chr5_3927
chr12_639;chr5_4101
chr1_263;chr3_4124
chr1_2640;chr1_1752
chr12_640;chr5_3552
chr12_641;chr5_3547
chr12_642;chr5_1488
chr1_2644;chr1_4934
chr1_2647;chr1_1737
chr12_647;chr5_1531
chr12_647;chr5_3558
chr1_2648;chr1_1734
chr12_648;chr5_1531
chr12_649;chr5_1532
chr1_264;chr3_1147
chr12_64;chr6_3515
chr1_2650;chr1_1712
chr12_650;chr5_3558
chr1_2651;chr1_1696
chr12_651;chr5_1545
chr12_651;chr5_1546
chr1_2652;chr1_3964
chr12_652;chr5_1546
chr1_2658;chr1_1675
chr1_265;chr3_3586
chr12_65;chr6_2133
chr1_2660;chr1_5710
chr1_2661;chr1_1662
chr1_2662;chr1_1654
chr12_662;chr5_1233
chr12_664;chr5_3381
chr1_266;chr3_1860
chr12_66;chr6_4589
chr1_2676;chr1_5414
chr12_676;chr6_1853
chr1_2679;chr1_5709
chr1_2680;chr1_4110
chr1_2682;chr1_2553
chr1_2683;chr1_1627
chr1_2684;chr1_1603
chr12_684;chr6_3469
chr12_68;chr6_2616
chr12_690;chr6_3060
chr1_2691;chr1_1592
chr12_691;chr6_2840
chr1_2692;chr1_1591
chr12_692;chr6_1835
chr1_2695;chr1_5400
chr12_697;chr6_5740
chr1_2698;chr1_1584
chr1_2698;chr1_1585
chr12_699;chr6_1832
chr12_69;chr6_2910
chr1_26;chr4_2102
chr12_6;chr6_1949
chr12_700;chr6_3456
chr12_701;chr6_4176
chr12_702;chr6_1816
chr1_2704;chr1_1577
chr1_2704;chr1_1588
chr1_2705;chr1_1586
chr12_706;chr6_2030
chr1_2707;chr1_1576
chr12_707;chr6_2021
chr12_708;chr6_2040
chr1_270;chr3_1848
chr12_70;chr6_2911
chr1_2710;chr1_4920
chr1_2712;chr1_1568
chr12_713;chr6_1991
chr1_2715;chr1_1567
chr12_715;chr6_3723
chr1_2716;chr1_2535
chr12_716;chr6_4961
chr1_2717;chr1_3156
chr12_717;chr6_1970
chr1_2718;chr1_1569
chr12_718;chr6_4202
chr12_718;chr6_5325
chr1_2719;chr1_4914
chr12_719;chr6_3494
chr12_71;chr6_2652
